Fast_SMA,Slow_SMA,Net_Profit,Return_Pct
46,50,189498.93,189.5
46,60,96453.13,96.45
46,70,-71811.24,-71.81
46,80,143205.81,143.21
46,90,539453.52,539.45
46,100,-9989.9,-9.99
46,110,-25424.77,-25.42
46,120,-70546.91,-70.55
46,130,-90220.64,-90.22
46,140,-81940.19,-81.94
46,150,-82703.55,-82.7
46,160,-65124.94,-65.12
46,170,189252.58,189.25
46,180,25441.93,25.44
46,190,43158.56,43.16
46,200,189796.02,189.8
46,210,47965.8,47.97
46,220,31491.94,31.49
46,230,25062.94,25.06
46,240,22.39,0.02
46,250,64073.4,64.07
48,50,-16969.15,-16.97
48,60,18130.27,18.13
48,70,257413.08,257.41
48,80,143671.29,143.67
48,90,320199.56,320.2
48,100,-69543.37,-69.54
48,110,-72866.37,-72.87
48,120,-105626.76,-105.63
48,130,-81024.53,-81.02
48,140,-88362.33,-88.36
48,150,-82694.98,-82.69
48,160,-69399.84,-69.4
48,170,282963.78,282.96
48,180,4115.08,4.12
48,190,-16543.94,-16.54
48,200,128557.73,128.56
48,210,-2248.86,-2.25
48,220,15592.42,15.59
48,230,48693.16,48.69
48,240,2600.34,2.6
48,250,74529.84,74.53
50,60,85221.6,85.22
50,70,-74279.52,-74.28
50,80,-44883.95,-44.88
50,90,210788.63,210.79
50,100,-90793.78,-90.79
50,110,-115838.75,-115.84
50,120,-117149.41,-117.15
50,130,-102176.06,-102.18
50,140,-89969.12,-89.97
50,150,-82212.04,-82.21
50,160,-89458.17,-89.46
50,170,199613.66,199.61
50,180,-2647.03,-2.65
50,190,11690.56,11.69
50,200,90173.66,90.17
50,210,-11945.1,-11.95
50,220,27297.84,27.3
50,230,62138.56,62.14
50,240,21626.05,21.63
50,250,15869.45,15.87
